bill,date,code,sp,quantity,price,revenue,discount,%
,,SG 023,Ba chú heo con,1,690000,690000,0,0
,,SG 021,Cô bé quàng khăn đỏ,1,690000,690000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0055,12/1/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
,,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
190002,13/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
190003,13/01/22,SG 021,Cô bé quàng khăn đỏ,1,690000,690000,0,0
190005,13/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0002,13/01/22,SG 466,Thử thách IQ Blox,1,249000,249000,0,0
SO0003,13/01/22,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0004,13/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0006,13/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
20001,14/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
20003,14/01/22,SG 477,Thử thách IQ Link,1,249000,249000,0,0
,,SG 412,Ghép hình lập phương,1,399000,399000,0,0
,,SG 412,Ghép hình lập phương,1,399000,399000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
190012,15/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0004,15/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0009,15/01/22,SG 421,Nhảy qua nào,1,399000,319000,80000,0.200501253
SO0012,15/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0014,15/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0016,15/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
