bill,date,code,sp,quantity,price,revenue,discount,%
20001,1/1/2023,SG 301,Thử thách IQ Digits,1,"329,000","264,000","65,000",0.2
,,SG 302,Thử thách IQ Love,1,"329,000","263,000","66,000",0.2
,,SG 304,Thử thách IQ Stixx,1,"329,000","263,000","66,000",0.2
20013,1/1/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",,0
20020,1/1/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",,0
,,SG 304,Thử thách IQ Stixx,1,"329,000","263,000","66,000",0.2
,,SG 302,Thử thách IQ Love,1,"329,000","263,000","66,000",0.2
,,SG 301,Thử thách IQ Digits,1,"329,000","264,000","65,000",0.2
20021,1/1/2023,SG 093,Thử thách Diamond Quest,1,"590,000","590,000",,0
20028,1/1/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
20031,1/1/2023,SG 479,Thử thách IQ Six Pro,2,"279,000","558,000",,0
,,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
150001,1/1/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",,0
150002,1/1/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
150004,1/1/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
150006,1/1/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",,0
150019,1/1/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",,0
,,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
150022,1/1/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",,0
150026,1/1/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",,0
150027,1/1/2023,SGM 505,Vương Quốc Rồng,1,"590,000","531,000","59,000",0.1
150028,1/1/2023,SGM 505,Vương Quốc Rồng,1,"590,000","495,000","95,000",0.16
,,SG 099,Nhảy Qua Nào (Bản đặc biệt),1,"590,000","495,000","95,000",0.16
150030,1/1/2023,SG 155,Chim Cánh Cụt Trên Băng,1,"590,000","590,000",,0
150033,1/1/2023,SGM 505,Vương Quốc Rồng,1,"590,000","531,000","59,000",0.1
150035,1/1/2023,SG 302,Thử thách IQ Love,1,"329,000","329,000",,0
190001,1/1/2023,SG 444,Thử thách IQ XOXO,1,"279,000","279,000",,0
190003,1/1/2023,SGM 505,Vương Quốc Rồng,1,"590,000","531,000","59,000",0.1
190004,1/1/2023,SGM 505,Vương Quốc Rồng,1,"590,000","531,000","59,000",0.1
190005,1/1/2023,SG 301,Thử thách IQ Digits,1,"329,000","264,000","65,000",0.2
,,SG 302,Thử thách IQ Love,1,"329,000","263,000","66,000",0.2
,,SG 304,Thử thách IQ Stixx,1,"329,000","263,000","66,000",0.2
190008,1/1/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",,0
