bill,date,code,sp,quantity,price,revenue,discount,%
170001,7/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 411,Thử thách IQ ngôi sao,1,"249,000","249,000",0,0
,,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
170005,7/1/2021,SG 282,Hòn đảo khủng long huyền bí,1,"590,000","590,000",0,0
,,SGT 250-8,Miếng Phô Mai xoắn não,1,"249,000","249,000",0,0
,,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
190008,7/1/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
210003,7/1/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
70001,8/1/2021,SG 412,Ghép hình lập phương,1,"399,000","399,000",0,0
70003,8/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
80008,8/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150003,8/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
170003,8/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
170007,8/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
170011,8/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
190003,8/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
20006,9/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
20018,9/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
50003,9/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
50004,9/1/2021,SG 411,Thử thách IQ ngôi sao,1,"249,000","249,000",0,0
70015,9/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
80006,9/1/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
100001,9/1/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
120009,9/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
140007,9/1/2021,SGT 240-8,Tàu Noah,1,"249,000","249,000",0,0
