code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
TM-832829,Fullchara Ice Mag Nemo & Dory,"499,000",8,,,,,,,,,8,,,,
TM-835516,Movin' Movin I/O Anger,"180,000",7,,,,,,,,,6,,1,,
TM-835547,Movin' Movin I/O Bing Bong,"180,000",7,,,,,,,,,3,,4,,
TM-844693,Tomica Toy Story Buzz And Space Ship,"279,000",7,,,,,,,,,6,,,,1
TM-844709,Tomica Toy Story Allen And Rocket,"279,000",15,,,,,,,,,14,,,1,
TM-844716,Tomica Toy Story  Jessie And Toy Box Carriage,"279,000",81,14,,30,7,,,,,28,,,1,1
TM-844723,Tomica Toy Story Woody And Rc,"279,000",80,17,,14,8,,,,,40,,,1,
TM-844747,Tomica Toy Story Green Army Men & Military Motor,"279,000",17,1,,,,,,,,14,,,2,
TM-L62006V,Vivian (Young Ankylosaurus),"319,000",4,,,,,,,,,,,4,,
TM-L62023V,Bubbha (Raptor),"529,000",4,,,,,,,,,,,4,,
TM-L70002,Judy & Bellwether,"299,000",3,,,,,,,,,,,3,,
TM-L70004,Mayor Lionheart & Lemming,"259,000",5,,,,,,,,,5,,,,
TM-L70006,Clawhauser & Bat Eyewitness,"259,000",7,,,,,,,,,,,7,,
TM-L70021,Judy's Meter Maid Pursuit,"599,000",1,,,,,,,,,,,1,,
TM-L70022,Nick's Convertible,"599,000",30,,,,,,,,,9,,21,,
TM-L70904,Operation Red Wood,"799,000",1,,,,,,,,,,,1,,
3281PK,Wheels,"148,000",1,,,,,,,,,,,1,,
3574XP,Metal Drifter,"798,000",4,1,,,,,,,,,,3,,
3575XP,Speed Beetle,"248,000",1,,,,,,,,,,,1,,
3588XP,FH Zero,"598,000",1,,,,,,,,,,,1,,
3589XP,Strix,"1,298,000",6,2,,,,,,,,,,4,,
3593XP,Echo 2,"1,098,000",4,1,,,,,,,,,,3,,
3596XC,Hayabusa,"598,000",21,3,,,,,,,,,,18,,
3597XP,Skyhawk,"698,000",16,2,,,,,,,,,,14,,
3598XP,Torque,"1,148,000",10,,,,,,,,,,,10,,
3601XP,Flipside,"498,000",12,2,,,,,,,,,,10,,
3602XP,Hornet,"448,000",2,2,,,,,,,,,,,,
3603XP,Metal racer,"798,000",11,3,,,,,,,,,,8,,
